Дата продажи,Название курса,Цена$,Кол-во,Всего
10.01.23,машинное обучение+,250,12.0,3000
10.01.23,SQL-Курс,60,16.0,960
11.01.23,python for beginners,50,21.0,1050
2023-01-11,Data Science BOOTCAMP,200,13.0,2600
11/01/2023,Web-разработка,80,17.0,1360
11/01/2023,Machine Learning ADV,250,105.0,26250
11.01.23,SQL-Курс,60,45.0,2700
12.01.23,Питон для начинающих,50,10.0,500
2023-01-12,Data Science BOOTCAMP,200,17.0,3400
2023-01-12,веб разработка,80,12.0,960
"Jan 12, 2023",Продвинутый ML,250,17.0,4250
2023-01-12,SQL БАЗОВЫЙ,60,13.0,780
2023/01/13,Питон для начинающих,50,21.0,1050
13/01/2023,Буткемп по Data Science,200,15.0,3000
13.01.23,web_dev,80,11.0,880
2023/01/13,Продвинутый ML,250,13.0,3250
13.01.23,sql-cc,60,12.0,720
2023/01/14,Python For Beginners,50,13.0,650
14/01/2023,data science bootcamp,200,22.0,4400
14/01/2023,Web-разработка,80,9.0,720
14.01.23,Machine Learning ADV,250,10.0,2500
2023/01/14,sql-cc,60,18.0,1080
15/01/2023,Python For Beginners,50,13.0,650
2023-01-15,DS Boot,200,21.0,4200
2023/01/15,веб разработка,80,19.0,1520
15/01/2023,ML (уровень 2),250,13.0,3250
"Jan 15, 2023",SQL-Курс,60,16.0,960
2023-01-16,Python For Beginners,50,15.0,750
16.01.23,Буткемп по Data Science,200,4.0,800
2023-01-16,web_dev,80,13.0,1040
16/01/2023,ML (уровень 2),250,18.0,4500
"Jan 16, 2023",sql crash course,60,8.0,480
"Jan 17, 2023",PYTHON-BEGINNERS,50,15.0,750
2023-01-17,Данные.Наука,200,13.0,2600
17/01/2023,Web-разработка,80,14.0,1120
17.01.23,Machine Learning ADV,250,17.0,4250
2023/01/17,Быстрый курс SQL,60,10.0,600
18/01/2023,Python нач,50,18.0,900
2023-01-18,Data Science BOOTCAMP,200,16.0,3200
18/01/2023,веб разработка,80,12.0,960
2023/01/18,Продвинутый ML,250,,1500
"Jan 18, 2023",sql crash course,60,17.0,1020
2023-01-19,PYTHON-BEGINNERS,50,15.0,750
19.01.23,DS Boot,200,,2800
19/01/2023,web_dev,80,17.0,1360
19/01/2023,машинное обучение+,250,16.0,4000
"Jan 19, 2023",SQL-Курс,60,17.0,1020
20.01.23,Python For Beginners,50,17.0,850
20/01/2023,Data Science BOOTCAMP,200,23.0,4600
2023/01/20,веб разработка,80,17.0,1360
20.01.23,Продвинутый ML,250,23.0,5750
"Jan 20, 2023",SQL-Курс,60,21.0,1260
"Jan 21, 2023",python for beginners,50,9.0,450
"Jan 21, 2023",Буткемп по Data Science,200,17.0,3400
2023-01-21,веб разработка,80,20.0,1600
21.01.23,ML (уровень 2),250,12.0,3000
"Jan 21, 2023",SQL БАЗОВЫЙ,60,16.0,960
2023-01-22,Python нач,50,19.0,950
22.01.23,Данные.Наука,200,13.0,2600
"Jan 22, 2023",WEB DEVELOPMENT,80,22.0,1760
22.01.23,machine learning advanced,250,18.0,4500
22/01/2023,SQL БАЗОВЫЙ,60,21.0,1260
2023-01-23,python for beginners,50,13.0,650
23.01.23,Данные.Наука,200,9.0,1800
"Jan 23, 2023",web_dev,80,24.0,1920
2023-01-23,machine learning advanced,250,14.0,3500
2023/01/23,SQL БАЗОВЫЙ,60,17.0,1020
"Jan 24, 2023",Python нач,50,19.0,950
24.01.23,Данные.Наука,200,7.0,1400
"Jan 24, 2023",web_dev,80,21.0,1680
24/01/2023,Продвинутый ML,250,,2500
"Jan 24, 2023",SQL-Курс,60,9.0,540
"Jan 25, 2023",python for beginners,50,17.0,850
25/01/2023,Data Science BOOTCAMP,200,13.0,2600
25.01.23,Web-разработка,80,13.0,1040
2023/01/25,Machine Learning ADV,250,16.0,4000
25/01/2023,SQL БАЗОВЫЙ,60,9.0,540
26.01.23,python for beginners,50,15.0,750
26.01.23,data science bootcamp,200,9.0,1800
2023/01/26,web_dev,80,13.0,1040
26.01.23,machine learning advanced,250,8.0,2000
2023-01-26,SQL БАЗОВЫЙ,60,15.0,900
2023-01-27,python for beginners,50,14.0,700
"Jan 27, 2023",data science bootcamp,200,21.0,4200
2023/01/27,WEB DEVELOPMENT,80,14.0,1120
2023/01/27,ML (уровень 2),250,11.0,2750
27.01.23,sql-cc,60,16.0,960
28/01/2023,Python нач,50,15.0,750
2023-01-28,Буткемп по Data Science,200,17.0,3400
2023-01-28,веб разработка,80,18.0,1440
"Jan 28, 2023",Machine Learning ADV,250,22.0,5500
2023-01-28,SQL-Курс,60,10.0,600
29/01/2023,Python нач,50,19.0,950
2023-01-29,DS Boot,200,12.0,2400
29.01.23,Web-разработка,80,20.0,1600
29.01.23,Machine Learning ADV,250,16.0,4000
2023/01/29,Быстрый курс SQL,60,16.0,960
2023-01-30,Python For Beginners,50,17.0,850
30.01.23,data science bootcamp,200,15.0,3000
30/01/2023,Web-разработка,80,16.0,1280
"Jan 30, 2023",Machine Learning ADV,250,10.0,2500
"Jan 30, 2023",sql-cc,60,16.0,960
"Jan 31, 2023",PYTHON-BEGINNERS,50,10.0,500
"Jan 31, 2023",DS Boot,200,16.0,3200
31/01/2023,Web-разработка,80,21.0,1680
31.01.23,Продвинутый ML,250,19.0,4750
2023/01/31,sql crash course,60,15.0,900
01.02.23,Питон для начинающих,50,13.0,650
"Feb 01, 2023",Data Science BOOTCAMP,200,8.0,1600
01/02/2023,Web-разработка,80,10.0,800
01/02/2023,машинное обучение+,250,11.0,2750
"Feb 01, 2023",sql-cc,60,15.0,900
"Feb 02, 2023",Питон для начинающих,50,11.0,550
02.02.23,DS Boot,200,12.0,2400
02.02.23,веб разработка,80,10.0,800
02/02/2023,машинное обучение+,250,13.0,3250
"Feb 02, 2023",SQL-Курс,60,16.0,960
2023/02/03,Python нач,50,22.0,1100
2023/02/03,data science bootcamp,200,11.0,2200
2023/02/03,веб разработка,80,15.0,1200
03/02/2023,ML (уровень 2),250,14.0,3500
"Feb 03, 2023",Быстрый курс SQL,60,12.0,720
2023/02/04,PYTHON-BEGINNERS,50,15.0,750
"Feb 04, 2023",Data Science BOOTCAMP,200,,2800
"Feb 04, 2023",Web Dev 101,80,12.0,960
04.02.23,Machine Learning ADV,250,13.0,3250
2023/02/04,SQL БАЗОВЫЙ,60,10.0,600
2023/02/05,python for beginners,50,17.0,850
05/02/2023,data science bootcamp,200,9.0,1800
05.02.23,WEB DEVELOPMENT,80,18.0,1440
"Feb 05, 2023",машинное обучение+,250,12.0,3000
2023-02-05,SQL-Курс,60,16.0,960
06/02/2023,PYTHON-BEGINNERS,50,16.0,800
06.02.23,Data Science BOOTCAMP,200,10.0,2000
"Feb 06, 2023",веб разработка,80,11.0,880
06/02/2023,Продвинутый ML,250,21.0,5250
06.02.23,sql-cc,60,9.0,540
07/02/2023,Python For Beginners,50,12.0,600
"Feb 07, 2023",Буткемп по Data Science,200,22.0,4400
2023-02-07,web_dev,80,12.0,960
2023-02-07,machine learning advanced,250,13.0,3250
2023-02-07,sql crash course,60,12.0,720
2023/02/08,Python For Beginners,50,12.0,600
08/02/2023,Data Science BOOTCAMP,200,15.0,3000
"Feb 08, 2023",WEB DEVELOPMENT,80,13.0,1040
08/02/2023,машинное обучение+,250,19.0,4750
08/02/2023,SQL-Курс,60,18.0,1080
09/02/2023,Python For Beginners,50,14.0,700
09/02/2023,DS Boot,200,10.0,2000
2023/02/09,web_dev,80,11.0,880
09.02.23,machine learning advanced,250,16.0,4000
"Feb 09, 2023",sql-cc,60,19.0,1140
10/02/2023,Python нач,50,17.0,850
10/02/2023,data science bootcamp,200,20.0,4000
2023-02-10,Web-разработка,80,14.0,1120
10/02/2023,Продвинутый ML,250,13.0,3250
2023-02-10,SQL-Курс,60,12.0,720
2023-02-11,Питон для начинающих,50,15.0,750
11.02.23,Данные.Наука,200,16.0,3200
11/02/2023,Web-разработка,80,19.0,1520
2023-02-11,machine learning advanced,250,10.0,2500
2023/02/11,sql crash course,60,18.0,1080
12.02.23,python for beginners,50,13.0,650
12.02.23,Буткемп по Data Science,200,20.0,4000
2023-02-12,Web Dev 101,80,19.0,1520
2023-02-12,Machine Learning ADV,250,18.0,4500
"Feb 12, 2023",sql crash course,60,17.0,1020
13.02.23,python for beginners,50,,650
"Feb 13, 2023",Данные.Наука,200,16.0,3200
13/02/2023,Web-разработка,80,23.0,1840
13/02/2023,машинное обучение+,250,15.0,3750
2023/02/13,SQL БАЗОВЫЙ,60,16.0,960
"Feb 14, 2023",python for beginners,50,17.0,850
14/02/2023,Буткемп по Data Science,200,,3200
"Feb 14, 2023",Web-разработка,80,22.0,1760
14/02/2023,machine learning advanced,250,19.0,4750
2023/02/14,Быстрый курс SQL,60,20.0,1200
2023/02/15,python for beginners,50,14.0,700
2023/02/15,DS Boot,200,19.0,3800
2023-02-15,веб разработка,80,14.0,1120
"Feb 15, 2023",машинное обучение+,250,13.0,3250
15.02.23,SQL БАЗОВЫЙ,60,14.0,840
"Feb 16, 2023",Python нач,50,10.0,500
"Feb 16, 2023",Буткемп по Data Science,200,14.0,2800
"Feb 16, 2023",WEB DEVELOPMENT,80,16.0,1280
"Feb 16, 2023",ML (уровень 2),250,17.0,4250
2023-02-16,SQL БАЗОВЫЙ,60,10.0,600
"Feb 17, 2023",PYTHON-BEGINNERS,50,16.0,800
17.02.23,Data Science BOOTCAMP,200,11.0,2200
17/02/2023,веб разработка,80,15.0,1200
2023/02/17,машинное обучение+,250,18.0,4500
17.02.23,sql-cc,60,14.0,840
"Feb 18, 2023",PYTHON-BEGINNERS,50,10.0,500
18/02/2023,Буткемп по Data Science,200,23.0,4600
2023/02/18,WEB DEVELOPMENT,80,17.0,1360
18/02/2023,Продвинутый ML,250,10.0,2500
2023/02/18,sql crash course,60,12.0,720
2023/02/19,Питон для начинающих,50,11.0,550
2023-02-19,data science bootcamp,200,9.0,1800
"Feb 19, 2023",Web-разработка,80,14.0,1120
"Feb 19, 2023",Machine Learning ADV,250,11.0,2750
2023/02/19,SQL-Курс,60,16.0,960
2023/02/20,PYTHON-BEGINNERS,50,19.0,950
"Feb 20, 2023",Данные.Наука,200,14.0,2800
20.02.23,web_dev,80,16.0,1280
20/02/2023,Продвинутый ML,250,14.0,3500
2023-02-20,SQL-Курс,60,18.0,1080
2023/02/21,PYTHON-BEGINNERS,50,15.0,750
21.02.23,Данные.Наука,200,14.0,2800
21/02/2023,web_dev,80,15.0,1200
21.02.23,ML (уровень 2),250,11.0,2750
21/02/2023,SQL БАЗОВЫЙ,60,21.0,1260
2023-02-22,Питон для начинающих,50,12.0,600
2023-02-22,Буткемп по Data Science,200,19.0,3800
2023/02/22,веб разработка,80,20.0,1600
22/02/2023,Продвинутый ML,250,17.0,4250
"Feb 22, 2023",sql crash course,60,14.0,840
2023/02/23,Питон для начинающих,50,6.0,300
2023-02-23,data science bootcamp,200,8.0,1600
23.02.23,WEB DEVELOPMENT,80,14.0,1120
23/02/2023,Machine Learning ADV,250,18.0,4500
23.02.23,SQL БАЗОВЫЙ,60,15.0,900
2023-02-24,Python нач,50,18.0,900
24/02/2023,data science bootcamp,200,12.0,2400
24.02.23,Web-разработка,80,15.0,1200
24/02/2023,машинное обучение+,250,18.0,4500
2023/02/24,sql-cc,60,18.0,1080
25.02.23,python for beginners,50,14.0,700
25.02.23,Data Science BOOTCAMP,200,12.0,2400
"Feb 25, 2023",WEB DEVELOPMENT,80,14.0,1120
25.02.23,Machine Learning ADV,250,20.0,5000
25/02/2023,Быстрый курс SQL,60,17.0,1020
26/02/2023,Python нач,50,12.0,600
26.02.23,data science bootcamp,200,22.0,4400
26/02/2023,Web-разработка,80,21.0,1680
26/02/2023,Machine Learning ADV,250,15.0,3750
"Feb 26, 2023",sql crash course,60,13.0,780
"Feb 27, 2023",Питон для начинающих,50,16.0,800
2023/02/27,Данные.Наука,200,13.0,2600
"Feb 27, 2023",WEB DEVELOPMENT,80,13.0,1040
27/02/2023,Продвинутый ML,250,13.0,3250
27.02.23,SQL-Курс,60,16.0,960
28.02.23,Python For Beginners,50,20.0,1000
2023/02/28,Буткемп по Data Science,200,13.0,2600
"Feb 28, 2023",Web Dev 101,80,15.0,1200
28/02/2023,машинное обучение+,250,14.0,3500
"Feb 28, 2023",Быстрый курс SQL,60,12.0,720
"Mar 01, 2023",Python For Beginners,50,12.0,600
"Mar 01, 2023",Данные.Наука,200,6.0,1200
"Mar 01, 2023",WEB DEVELOPMENT,80,14.0,1120
2023-03-01,machine learning advanced,250,19.0,4750
2023-03-01,SQL БАЗОВЫЙ,60,15.0,900
2023/03/02,PYTHON-BEGINNERS,50,23.0,1150
02/03/2023,data science bootcamp,200,15.0,3000
02/03/2023,WEB DEVELOPMENT,80,11.0,880
02/03/2023,Machine Learning ADV,250,13.0,3250
2023-03-02,sql-cc,60,14.0,840
2023/03/03,python for beginners,50,11.0,550
"Mar 03, 2023",Данные.Наука,200,16.0,3200
03/03/2023,WEB DEVELOPMENT,80,20.0,1600
2023-03-03,Продвинутый ML,250,17.0,4250
2023-03-03,SQL БАЗОВЫЙ,60,14.0,840
04.03.23,Python For Beginners,50,18.0,900
"Mar 04, 2023",Data Science BOOTCAMP,200,11.0,2200
04/03/2023,Web Dev 101,80,20.0,1600
04/03/2023,машинное обучение+,250,,4000
04/03/2023,sql crash course,60,17.0,1020
2023-03-05,PYTHON-BEGINNERS,50,20.0,1000
05.03.23,Буткемп по Data Science,200,17.0,3400
2023/03/05,Web Dev 101,80,17.0,1360
2023/03/05,machine learning advanced,250,20.0,5000
05.03.23,SQL БАЗОВЫЙ,60,10.0,600
"Mar 06, 2023",Python For Beginners,50,95.0,4750
06/03/2023,data science bootcamp,200,12.0,2400
06.03.23,WEB DEVELOPMENT,80,,1280
"Mar 06, 2023",Machine Learning ADV,250,15.0,3750
06/03/2023,SQL-Курс,60,18.0,1080
"Mar 07, 2023",Python нач,50,13.0,650
07/03/2023,Data Science BOOTCAMP,200,17.0,3400
07.03.23,web_dev,80,17.0,1360
"Mar 07, 2023",Продвинутый ML,250,13.0,3250
"Mar 07, 2023",SQL БАЗОВЫЙ,60,10.0,600
08.03.23,Python нач,50,15.0,750
"Mar 08, 2023",Данные.Наука,200,14.0,2800
"Mar 08, 2023",Web-разработка,80,14.0,1120
08.03.23,машинное обучение+,250,11.0,2750
08.03.23,SQL БАЗОВЫЙ,60,17.0,1020
09/03/2023,Python For Beginners,50,10.0,500
2023/03/09,DS Boot,200,14.0,2800
"Mar 09, 2023",веб разработка,80,14.0,1120
09.03.23,Продвинутый ML,250,11.0,2750
"Mar 09, 2023",SQL БАЗОВЫЙ,60,13.0,780
"Mar 10, 2023",PYTHON-BEGINNERS,50,26.0,1300
2023/03/10,DS Boot,200,18.0,3600
"Mar 10, 2023",WEB DEVELOPMENT,80,18.0,1440
2023/03/10,machine learning advanced,250,,4000
10/03/2023,SQL-Курс,60,9.0,540
2023/03/11,python for beginners,50,14.0,700
2023/03/11,data science bootcamp,200,12.0,2400
2023/03/11,веб разработка,80,14.0,1120
"Mar 11, 2023",машинное обучение+,250,14.0,3500
11/03/2023,sql crash course,60,12.0,720
2023-03-12,Python For Beginners,50,18.0,900
12/03/2023,Буткемп по Data Science,200,9.0,1800
2023/03/12,WEB DEVELOPMENT,80,10.0,800
2023-03-12,Machine Learning ADV,250,85.0,21250
2023-03-12,SQL-Курс,60,13.0,780
"Mar 13, 2023",python for beginners,50,13.0,650
2023-03-13,Data Science BOOTCAMP,200,14.0,2800
13.03.23,web_dev,80,17.0,1360
"Mar 13, 2023",машинное обучение+,250,11.0,2750
2023-03-13,SQL-Курс,60,17.0,1020
14.03.23,Python нач,50,,350
"Mar 14, 2023",Data Science BOOTCAMP,200,20.0,4000
2023/03/14,web_dev,80,13.0,1040
"Mar 14, 2023",машинное обучение+,250,21.0,5250
2023-03-14,sql-cc,60,14.0,840
15/03/2023,Питон для начинающих,50,18.0,900
15.03.23,Буткемп по Data Science,200,12.0,2400
15/03/2023,web_dev,80,13.0,1040
2023-03-15,машинное обучение+,250,17.0,4250
"Mar 15, 2023",SQL БАЗОВЫЙ,60,18.0,1080
"Mar 16, 2023",Питон для начинающих,50,11.0,550
2023/03/16,Буткемп по Data Science,200,14.0,2800
16/03/2023,Web-разработка,80,18.0,1440
2023-03-16,ML (уровень 2),250,16.0,4000
"Mar 16, 2023",SQL-Курс,60,15.0,900
"Mar 17, 2023",PYTHON-BEGINNERS,50,14.0,700
"Mar 17, 2023",Данные.Наука,200,21.0,4200
2023-03-17,Web Dev 101,80,16.0,1280
2023-03-17,Продвинутый ML,250,11.0,2750
"Mar 17, 2023",sql-cc,60,11.0,660
2023-03-18,Python For Beginners,50,12.0,600
18.03.23,data science bootcamp,200,15.0,3000
18/03/2023,web_dev,80,10.0,800
2023-03-18,Продвинутый ML,250,12.0,3000
2023-03-18,Быстрый курс SQL,60,18.0,1080
"Mar 19, 2023",python for beginners,50,,700
19/03/2023,Данные.Наука,200,11.0,2200
2023-03-19,WEB DEVELOPMENT,80,19.0,1520
2023-03-19,machine learning advanced,250,16.0,4000
19/03/2023,SQL-Курс,60,11.0,660
20/03/2023,Python For Beginners,50,17.0,850
2023-03-20,Данные.Наука,200,19.0,3800
2023/03/20,Web-разработка,80,11.0,880
20/03/2023,Machine Learning ADV,250,7.0,1750
2023-03-20,SQL-Курс,60,5.0,300
2023/03/21,Питон для начинающих,50,22.0,1100
2023/03/21,DS Boot,200,5.0,1000
2023-03-21,веб разработка,80,25.0,2000
2023-03-21,машинное обучение+,250,14.0,3500
21.03.23,SQL-Курс,60,17.0,1020
2023/03/22,python for beginners,50,13.0,650
2023/03/22,Буткемп по Data Science,200,9.0,1800
22.03.23,web_dev,80,20.0,1600
22.03.23,Machine Learning ADV,250,17.0,4250
2023/03/22,sql crash course,60,20.0,1200
23.03.23,Python For Beginners,50,22.0,1100
2023-03-23,Буткемп по Data Science,200,11.0,2200
2023-03-23,WEB DEVELOPMENT,80,17.0,1360
23/03/2023,машинное обучение+,250,16.0,4000
23/03/2023,SQL-Курс,60,14.0,840
24/03/2023,python for beginners,50,19.0,950
24.03.23,Буткемп по Data Science,200,50.0,10000
"Mar 24, 2023",WEB DEVELOPMENT,80,13.0,1040
24.03.23,машинное обучение+,250,17.0,4250
24.03.23,Быстрый курс SQL,60,12.0,720
25.03.23,Python нач,50,8.0,400
2023/03/25,data science bootcamp,200,16.0,3200
25.03.23,Web-разработка,80,20.0,1600
25.03.23,ML (уровень 2),250,14.0,3500
2023/03/25,Быстрый курс SQL,60,15.0,900
2023/03/26,PYTHON-BEGINNERS,50,19.0,950
2023/03/26,Буткемп по Data Science,200,21.0,4200
"Mar 26, 2023",Web-разработка,80,13.0,1040
26/03/2023,machine learning advanced,250,12.0,3000
26.03.23,SQL-Курс,60,19.0,1140
27.03.23,Питон для начинающих,50,16.0,800
27.03.23,data science bootcamp,200,14.0,2800
27.03.23,веб разработка,80,17.0,1360
2023-03-27,машинное обучение+,250,17.0,4250
"Mar 27, 2023",sql-cc,60,15.0,900
"Mar 28, 2023",Python For Beginners,50,24.0,1200
28/03/2023,Буткемп по Data Science,200,20.0,4000
2023/03/28,Web Dev 101,80,16.0,1280
28.03.23,Machine Learning ADV,250,21.0,5250
2023/03/28,SQL-Курс,60,18.0,1080
29/03/2023,python for beginners,50,14.0,700
29.03.23,Данные.Наука,200,16.0,3200
29.03.23,Web-разработка,80,11.0,880
2023/03/29,ML (уровень 2),250,11.0,2750
"Mar 29, 2023",sql crash course,60,17.0,1020
30/03/2023,Питон для начинающих,50,12.0,600
2023-03-30,Данные.Наука,200,10.0,2000
30/03/2023,Web-разработка,80,14.0,1120
2023-03-30,ML (уровень 2),250,9.0,2250
30.03.23,sql crash course,60,12.0,720
"Mar 31, 2023",Python For Beginners,50,21.0,1050
31/03/2023,DS Boot,200,11.0,2200
31.03.23,Web Dev 101,80,15.0,1200
31/03/2023,machine learning advanced,250,12.0,3000
31/03/2023,Быстрый курс SQL,60,17.0,1020
01.04.23,Питон для начинающих,50,13.0,650
01.04.23,Данные.Наука,200,17.0,3400
2023-04-01,веб разработка,80,15.0,1200
2023-04-01,машинное обучение+,250,24.0,6000
2023/04/01,sql-cc,60,,660
2023-04-02,PYTHON-BEGINNERS,50,14.0,700
"Apr 02, 2023",Данные.Наука,200,17.0,3400
2023-04-02,WEB DEVELOPMENT,80,12.0,960
02/04/2023,Продвинутый ML,250,15.0,3750
"Apr 02, 2023",Быстрый курс SQL,60,16.0,960
"Apr 03, 2023",Python нач,50,10.0,500
2023/04/03,Буткемп по Data Science,200,17.0,3400
2023/04/03,веб разработка,80,12.0,960
2023-04-03,Продвинутый ML,250,22.0,5500
2023-04-03,Быстрый курс SQL,60,,840
2023/04/04,Python нач,50,15.0,750
04/04/2023,Data Science BOOTCAMP,200,14.0,2800
2023-04-04,Web-разработка,80,13.0,1040
"Apr 04, 2023",Продвинутый ML,250,11.0,2750
2023/04/04,SQL-Курс,60,19.0,1140
2023/04/05,PYTHON-BEGINNERS,50,22.0,1100
2023-04-05,Data Science BOOTCAMP,200,18.0,3600
2023/04/05,веб разработка,80,14.0,1120
2023/04/05,Продвинутый ML,250,8.0,2000
2023-04-05,sql-cc,60,25.0,1500
2023/04/06,Питон для начинающих,50,14.0,700
2023-04-06,Буткемп по Data Science,200,,2800
"Apr 06, 2023",WEB DEVELOPMENT,80,11.0,880
"Apr 06, 2023",машинное обучение+,250,10.0,2500
"Apr 06, 2023",SQL БАЗОВЫЙ,60,14.0,840
"Apr 07, 2023",PYTHON-BEGINNERS,50,10.0,500
07.04.23,Буткемп по Data Science,200,9.0,1800
07.04.23,WEB DEVELOPMENT,80,19.0,1520
2023/04/07,Продвинутый ML,250,16.0,4000
2023-04-07,Быстрый курс SQL,60,14.0,840
2023-04-08,Python нач,50,14.0,700
"Apr 08, 2023",Data Science BOOTCAMP,200,18.0,3600
"Apr 08, 2023",Web-разработка,80,15.0,1200
08.04.23,ML (уровень 2),250,18.0,4500
2023/04/08,SQL-Курс,60,11.0,660
2023/04/09,Python For Beginners,50,25.0,1250
09/04/2023,Буткемп по Data Science,200,15.0,3000
2023-04-09,Web Dev 101,80,9.0,720
09.04.23,Machine Learning ADV,250,13.0,3250
09/04/2023,sql-cc,60,13.0,780
2023/04/10,python for beginners,50,13.0,650
"Apr 10, 2023",Буткемп по Data Science,200,12.0,2400
10/04/2023,web_dev,80,21.0,1680
2023-04-10,машинное обучение+,250,17.0,4250
10.04.23,sql-cc,60,15.0,900
"Apr 11, 2023",Python нач,50,15.0,750
2023-04-11,Data Science BOOTCAMP,200,8.0,1600
"Apr 11, 2023",WEB DEVELOPMENT,80,24.0,1920
11/04/2023,ML (уровень 2),250,12.0,3000
11/04/2023,sql-cc,60,17.0,1020
12.04.23,PYTHON-BEGINNERS,50,9.0,450
12/04/2023,Data Science BOOTCAMP,200,12.0,2400
12/04/2023,Web-разработка,80,26.0,2080
12.04.23,ML (уровень 2),250,16.0,4000
2023-04-12,SQL БАЗОВЫЙ,60,10.0,600
2023/04/13,PYTHON-BEGINNERS,50,17.0,850
2023/04/13,DS Boot,200,16.0,3200
2023-04-13,веб разработка,80,19.0,1520
2023/04/13,machine learning advanced,250,13.0,3250
13/04/2023,SQL БАЗОВЫЙ,60,13.0,780
2023/04/14,PYTHON-BEGINNERS,50,12.0,600
14/04/2023,DS Boot,200,12.0,2400
2023/04/14,WEB DEVELOPMENT,80,12.0,960
14/04/2023,Machine Learning ADV,250,19.0,4750
"Apr 14, 2023",Быстрый курс SQL,60,17.0,1020
2023-04-15,python for beginners,50,6.0,300
15.04.23,Буткемп по Data Science,200,11.0,2200
15/04/2023,WEB DEVELOPMENT,80,18.0,1440
"Apr 15, 2023",ML (уровень 2),250,15.0,3750
15/04/2023,sql crash course,60,17.0,1020
"Apr 16, 2023",python for beginners,50,14.0,700
16/04/2023,Данные.Наука,200,9.0,1800
16.04.23,Web-разработка,80,11.0,880
2023/04/16,machine learning advanced,250,16.0,4000
"Apr 16, 2023",sql-cc,60,95.0,5700
17.04.23,python for beginners,50,18.0,900
2023-04-17,Data Science BOOTCAMP,200,13.0,2600
17/04/2023,web_dev,80,13.0,1040
"Apr 17, 2023",машинное обучение+,250,13.0,3250
17/04/2023,SQL БАЗОВЫЙ,60,20.0,1200
2023-04-18,PYTHON-BEGINNERS,50,70.0,3500
"Apr 18, 2023",DS Boot,200,16.0,3200
"Apr 18, 2023",Web Dev 101,80,9.0,720
2023-04-18,machine learning advanced,250,17.0,4250
"Apr 18, 2023",sql crash course,60,16.0,960
2023/04/19,Python нач,50,17.0,850
"Apr 19, 2023",data science bootcamp,200,19.0,3800
19/04/2023,web_dev,80,7.0,560
2023-04-19,Machine Learning ADV,250,17.0,4250
19.04.23,SQL БАЗОВЫЙ,60,14.0,840
20/04/2023,Python For Beginners,50,14.0,700
2023-04-20,data science bootcamp,200,16.0,3200
20.04.23,Web-разработка,80,22.0,1760
20.04.23,ML (уровень 2),250,17.0,4250
2023/04/20,Быстрый курс SQL,60,14.0,840
21.04.23,PYTHON-BEGINNERS,50,16.0,800
"Apr 21, 2023",Данные.Наука,200,13.0,2600
2023-04-21,Web-разработка,80,12.0,960
"Apr 21, 2023",Machine Learning ADV,250,23.0,5750
2023/04/21,SQL-Курс,60,11.0,660
"Apr 22, 2023",python for beginners,50,15.0,750
